模型,测试集_MAE,测试集_RMSE,测试集_R2,CV_R2_均值,CV_R2_标准差
ExtraTrees,1.5614793249785466,2.2686039698817595,-5.666822933629873,-316.84489926298033,257.6614304126326
RandomForest,1.648736802318129,2.3974311309062752,-5.673399845774534,-531.305533743906,384.55224545176725
Ridge,1.5914993232217798,2.2688940672122366,-13.478284654993793,-11640.433411937754,16220.70146392532
